Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,원정팀결과,홈팀결과,비고
2013-09-01 17:00,사직,LG,3,2,롯데,승,패,정규시즌
2013-09-05 18:30,사직,SK,6,3,롯데,승,패,정규시즌
2013-09-14 17:00,사직,두산,11,4,롯데,승,패,정규시즌
2013-09-15 17:00,사직,두산,6,6,롯데,무,무,정규시즌
2013-09-17 18:30,사직,넥센,7,1,롯데,승,패,정규시즌
2013-09-18 17:00,사직,기아,3,12,롯데,패,승,정규시즌
2013-09-19 17:00,사직,NC,3,4,롯데,패,승,정규시즌
2013-09-28 17:00,사직,한화,0,6,롯데,패,승,정규시즌
2013-09-30 18:30,사직,SK,1,7,롯데,패,승,정규시즌
2013-10-01 18:30,사직,LG,3,4,롯데,패,승,정규시즌
2013-10-02 18:30,사직,삼성,9,2,롯데,승,패,정규시즌
2013-10-03 17:00,사직,삼성,7,8,롯데,패,승,정규시즌
2013-10-04 18:30,사직,SK,2,7,롯데,패,승,정규시즌
2014-03-11 13:00,상동,두산,1,1,롯데,무,무,시범경기
2014-03-18 13:00,상동,LG,11,6,롯데,승,패,시범경기
2014-03-19 13:00,상동,LG,9,10,롯데,패,승,시범경기
2014-03-22 13:00,울산,한화,13,8,롯데,승,패,시범경기
2014-03-23 12:00,울산,한화,9,2,롯데,승,패,시범경기
2014-03-30 14:00,사직,한화,4,2,롯데,승,패,정규시즌
2014-03-31 18:30,사직,한화,2,11,롯데,패,승,정규시즌
2014-04-04 18:30,울산,삼성,2,4,롯데,패,승,정규시즌
2014-04-05 17:00,울산,삼성,4,6,롯데,패,승,정규시즌
2014-04-06 14:00,울산,삼성,7,1,롯데,승,패,정규시즌
2014-04-08 18:30,사직,LG,2,2,롯데,무,무,정규시즌
2014-04-09 18:30,사직,LG,7,4,롯데,승,패,정규시즌
2014-04-10 18:30,사직,LG,1,4,롯데,패,승,정규시즌
2014-04-15 18:30,사직,NC,5,3,롯데,승,패,정규시즌
2014-04-16 18:30,사직,NC,8,7,롯데,승,패,정규시즌
2014-04-25 18:30,사직,SK,7,6,롯데,승,패,정규시즌
2014-04-26 17:00,사직,SK,4,5,롯데,패,승,정규시즌
2014-04-27 14:00,사직,SK,1,3,롯데,패,승,정규시즌
2014-05-06 14:00,사직,두산,10,19,롯데,패,승,정규시즌
2014-05-07 18:30,사직,두산,6,10,롯데,패,승,정규시즌
2014-05-08 18:30,사직,두산,15,6,롯데,승,패,정규시즌
2014-05-16 18:30,사직,넥센,3,4,롯데,패,승,정규시즌
2014-05-17 17:00,사직,넥센,14,2,롯데,승,패,정규시즌
2014-05-18 14:00,사직,넥센,6,11,롯데,패,승,정규시즌
2014-05-23 18:30,울산,기아,2,3,롯데,패,승,정규시즌
2014-05-24 17:00,울산,기아,4,1,롯데,승,패,정규시즌
2014-05-25 14:00,울산,기아,7,5,롯데,승,패,정규시즌
2014-06-05 18:30,사직,한화,1,10,롯데,패,승,정규시즌
2014-06-10 18:30,사직,LG,5,2,롯데,승,패,정규시즌
2014-06-11 18:30,사직,LG,1,4,롯데,패,승,정규시즌
2014-06-13 18:30,사직,기아,6,8,롯데,패,승,정규시즌
2014-06-14 17:00,사직,기아,4,6,롯데,패,승,정규시즌
2014-06-15 17:00,사직,기아,8,4,롯데,승,패,정규시즌
2014-06-27 18:30,사직,NC,7,8,롯데,패,승,정규시즌
2014-06-28 17:00,사직,NC,1,4,롯데,패,승,정규시즌
2014-06-29 17:00,사직,NC,0,9,롯데,패,승,정규시즌
2014-07-04 18:30,사직,SK,2,6,롯데,패,승,정규시즌
2014-07-05 18:00,사직,SK,7,8,롯데,패,승,정규시즌
2014-07-07 18:30,사직,SK,10,3,롯데,승,패,정규시즌
2014-07-16 18:30,사직,넥센,4,3,롯데,승,패,정규시즌
2014-07-22 18:30,사직,삼성,5,3,롯데,승,패,정규시즌
2014-07-23 18:30,사직,삼성,15,12,롯데,승,패,정규시즌
2014-07-24 18:30,사직,삼성,17,1,롯데,승,패,정규시즌
2014-07-29 18:30,사직,두산,12,1,롯데,승,패,정규시즌
2014-07-30 18:30,사직,두산,1,3,롯데,패,승,정규시즌
2014-07-31 18:30,사직,두산,3,13,롯데,패,승,정규시즌
2014-08-05 18:30,사직,NC,3,1,롯데,승,패,정규시즌
2014-08-06 18:30,사직,NC,4,10,롯데,패,승,정규시즌
2014-08-12 18:30,사직,넥센,10,1,롯데,승,패,정규시즌
2014-08-13 18:30,사직,넥센,8,5,롯데,승,패,정규시즌
2014-08-19 18:30,울산,한화,10,7,롯데,승,패,정규시즌
2014-08-23 18:00,사직,LG,3,0,롯데,승,패,정규시즌
2014-08-24 18:00,사직,LG,6,5,롯데,승,패,정규시즌
2014-08-26 18:30,사직,삼성,10,7,롯데,승,패,정규시즌
2014-08-27 18:30,사직,삼성,4,11,롯데,패,승,정규시즌
2014-08-28 18:30,사직,기아,5,6,롯데,패,승,정규시즌
2014-08-29 18:30,사직,기아,9,5,롯데,승,패,정규시즌
2014-09-09 14:00,사직,SK,10,8,롯데,승,패,정규시즌
2014-09-10 14:00,사직,SK,5,11,롯데,패,승,정규시즌
2014-09-13 17:00,사직,두산,4,3,롯데,승,패,정규시즌
2014-09-14 14:00,사직,두산,3,4,롯데,패,승,정규시즌
2014-10-02 18:30,사직,한화,5,10,롯데,패,승,정규시즌
2014-10-03 14:00,사직,한화,3,15,롯데,패,승,정규시즌
2014-10-10 18:30,사직,NC,12,0,롯데,승,패,정규시즌
2014-10-11 17:00,사직,한화,3,4,롯데,패,승,정규시즌
2014-10-12 14:00,사직,한화,2,4,롯데,패,승,정규시즌
2014-10-14 18:30,사직,넥센,12,4,롯데,승,패,정규시즌
2014-10-15 18:30,사직,넥센,7,6,롯데,승,패,정규시즌
2014-10-17 18:30,사직,LG,5,8,롯데,패,승,정규시즌
2015-03-07 13:00,사직,SK,2,1,롯데,승,패,시범경기
2015-03-08 13:00,사직,SK,1,9,롯데,패,승,시범경기
2015-03-11 13:00,사직,LG,2,0,롯데,승,패,시범경기
2015-03-12 13:00,사직,KT,6,5,롯데,승,패,시범경기
2015-03-13 13:00,사직,KT,2,3,롯데,패,승,시범경기
2015-03-17 13:00,울산,삼성,3,5,롯데,패,승,시범경기
2015-03-21 13:00,사직,NC,4,13,롯데,패,승,시범경기
2015-03-22 13:00,사직,NC,7,2,롯데,승,패,시범경기
2015-03-28 14:00,사직,KT,9,12,롯데,패,승,정규시즌
2015-03-29 14:00,사직,KT,4,5,롯데,패,승,정규시즌
2015-04-03 18:30,사직,두산,0,5,롯데,패,승,정규시즌
2015-04-05 14:00,사직,두산,4,16,롯데,패,승,정규시즌
2015-04-10 18:30,사직,한화,9,10,롯데,패,승,정규시즌
2015-04-11 17:00,사직,한화,4,1,롯데,승,패,정규시즌
2015-04-12 17:00,사직,한화,3,15,롯데,패,승,정규시즌
2015-04-14 18:30,사직,NC,4,5,롯데,패,승,정규시즌
2015-04-15 18:30,사직,NC,0,6,롯데,패,승,정규시즌
2015-04-16 18:30,사직,NC,8,3,롯데,승,패,정규시즌
2015-04-24 18:30,사직,삼성,3,5,롯데,패,승,정규시즌
2015-04-25 17:00,사직,삼성,9,12,롯데,패,승,정규시즌
